law_code,category_code,seq,kind,label_ja,label_en,basis_ja,condition_ja,threshold_note,owner_hint,health_check_type,health_check_interval,health_record_years,measurement_interval,measurement_record_years,work_record_years,supervisor_ja,notice_ja
ish,occupational_exposure_limit,2,mandatory,測定・推定の記録を3年保存する（がん原性物質は30年）,Keep measurement/estimate records 3 years (30 for carcinogens),安衛則577条の2,,,環境安全,,,,,,,,
ish,skin_protection,1,mandatory,不浸透性の保護手袋・保護衣・保護眼鏡を着用する,"Wear impermeable gloves, clothing and eye protection","安衛則594条の2, 594条の3",2024-04-01〜。皮膚刺激性有害物質は努力義務→義務に注意,,研究室,,,,,,,,
ish,carcinogen_record,1,mandatory,作業記録（作業内容・従事期間・ばく露状況・健診結果）を30年保存する,Keep work/exposure/health records 30 years,安衛則577条の2第5項・第11項；告示（がん原性物質）,,,環境安全,リスクアセスメント対象物健康診断（特殊健康診断は各特別則の保存年限）,,30,1年以内ごとに記録（ばく露の状況）,30,30,,
ish,prohibited,1,mandatory,製造・輸入・譲渡・提供・使用を行わない（製造等禁止物質）,"Do not manufacture, import, transfer, supply or use",安衛法55；令16,,,研究室,,,,,,,,
ish,prohibited,2,conditional,試験研究目的に限り都道府県労働局長の許可を得て、製造設備の密閉化（またはドラフトチェンバー内設置）・容器の成分表示・保管場所表示・保護前掛/保護手袋・立入禁止表示等の基準に従う,Research use only with prefectural labour bureau permit and its conditions,安衛法55ただし書；令16条2項；特化則46〜47,試験研究目的の製造・輸入・使用のみ（石綿等は石綿則による）,,事業場,,,,,,,,容器の成分表示；保管場所・立入禁止の表示
ish,manufacture_permission,1,mandatory,製造には厚生労働大臣の許可を得る（製造許可物質）,Manufacture requires MHLW ministerial permission,安衛法56；令17,,対象範囲：＞1 %（ベンゾトリクロリドは＞0.5 %、ベリリウム合金は＞3 %）,製造者,,,,,,,,製造許可
ish,manufacture_permission,2,mandatory,取扱い時は第一類物質相当の措置（密閉設備・囲い式局排またはプッシュプル型換気装置、作業主任者、測定6か月ごと、健診6か月ごと、掲示、記録〔PCB以外は30年〕）を実施する,"Handle as a Class 1 specified substance (enclosure/local exhaust, supervisor, 6-monthly measurement and health checks, notices, records)","特化則3, 27, 36, 38条の3〜4, 39〜40",,,研究室,特定化学物質健康診断,6か月以内ごと,5（PCB以外の第一類物質は30）,6か月以内ごと,3（PCB以外の第一類物質は特別管理物質のため30）,30（PCB以外）,特定化学物質作業主任者（試験研究のため取り扱う作業は選任不要：令6条18号）,
ish,tokka_class_1,1,mandatory,製造は厚生労働大臣の許可制（製造許可物質）,Manufacture requires ministerial permission,安衛法56；令17,,対象範囲：＞1 %（ベンゾトリクロリドは＞0.5 %、ベリリウム合金は＞3 %）,製造者,,,,,,,,製造許可
ish,tokka_class_1,2,mandatory,第一類物質を容器に入れ・取り出し・反応槽等へ投入する作業場所に密閉設備・囲い式フードの局所排気装置・プッシュプル型換気装置のいずれかを設ける（PCB等は局所排気装置可）,Provide enclosure or enclosing-hood local exhaust,特化則3,,,研究室,,,,,,,,
ish,tokka_class_1,3,conditional,特定化学物質作業主任者を選任する,Appoint a specified chemical substance operations chief,特化則27,試験研究のため取り扱う作業は選任不要（令6条18号）,,研究室,,,,,,,特定化学物質作業主任者,
ish,tokka_class_1,4,mandatory,作業環境測定を6か月以内ごとに実施し、記録を3年保存する（特別管理物質は30年）,Workplace measurement every 6 months; keep records 3 years (30 for special management substances),"特化則36, 36条の2",,,環境安全,,,,6か月以内ごと,3,,,
ish,tokka_class_1,5,mandatory,特定化学物質健康診断を6か月以内ごと（雇入れ・配置替え時も）に実施し、記録を5年保存する（特別管理物質は30年）,Specified chemical health check every 6 months (and at hire/transfer); keep records 5 years (30 for special management substances),"特化則39, 40",,,産業保健,特定化学物質健康診断,6か月以内ごと（雇入れ・配置替え時も）,5,,,,,
ish,tokka_class_2,1,mandatory,密閉設備・局所排気装置・プッシュプル型換気装置を設ける（特定第二類・管理第二類の屋内作業場：5条。特定第二類・オーラミン等の製造設備は密閉式・隔離室遠隔操作：4条）,Provide local exhaust or equivalent emission control,特化則4〜5,,対象範囲：＞1 %（一部 ＞0.1 %。特化則別表第1）,研究室,,,,,,,,
ish,tokka_class_2,2,conditional,特定化学物質作業主任者を選任する,Appoint a specified chemical substance operations chief,特化則27,試験研究のため取り扱う作業は選任不要（令6条18号）,,研究室,,,,,,,特定化学物質作業主任者,
ish,tokka_class_2,3,mandatory,作業環境測定を6か月以内ごとに実施し、記録を3年保存する（特別管理物質は30年）,Workplace measurement every 6 months; keep records 3 years (30 for special management substances),"特化則36, 36条の2",特定第二類・管理第二類等,,環境安全,,,,6か月以内ごと,3,,,
ish,tokka_class_2,4,mandatory,特定化学物質健康診断を6か月以内ごとに実施し、記録を5年保存する（検査項目は特化則別表第3・第4。特別管理物質は30年）,Specified chemical health check every 6 months; keep records 5 years (30 for special management substances),"特化則39, 40",,,産業保健,特定化学物質健康診断,6か月以内ごと,5,,,,,
ish,tokka_class_2,5,mandatory,休憩室・洗浄設備・保護具（呼吸用保護具、不浸透性保護衣等）を備え、立入禁止表示を行う,Provide washing facilities and PPE; post no-entry signs,"特化則24, 37, 38, 43〜45",,,研究室,,,,,,,,立入禁止表示
ish,tokka_class_3,1,conditional,大量漏えい防止措置（特定化学設備の構造・退避手順）を定める,"Prevent large leaks (specified chemical facility design, evacuation procedure)","特化則13〜20, 22",特定化学設備（製造・取扱い設備）がある場合,,研究室,,,,,,,,
ish,tokka_class_3,2,conditional,第三類物質を製造・取り扱う作業（試験研究を除く）には特定化学物質作業主任者を選任する,Appoint an operations chief where a specified chemical facility exists,特化則27,試験研究のため取り扱う作業を除く（特定化学設備の有無は問わない：令6条18号）,,研究室,,,,,,,特定化学物質作業主任者,
ish,tokka_class_3,3,info,第三類物質には健康診断・作業環境測定の義務はない,No health-check or measurement duty for Class 3,"特化則36, 39",,,,,,,,,,,
ish,tokka,1,mandatory,特化則の区分（第一〜三類・特別管理物質）を安衛令別表第3・特化則で確認する,"Confirm the Tokka class (1-3, special management) in the ordinance tables","安衛令別表第3；特化則2条, 38条の4",群指定（〜及びその化合物）または区分未確定,対象範囲：＞1 %（一部 ＞0.1 %。特化則別表第1）,環境安全,,,,,,,,
ish,tokka,2,mandatory,区分確定まで第二類物質相当の措置（作業主任者・測定6か月ごと・健診6か月ごと・記録）を前提に計画する,"Until the class is confirmed, plan Class 2-equivalent measures (supervisor, 6-monthly measurement and health checks, records)","特化則27, 36, 39",,,研究室,特定化学物質健康診断,6か月以内ごと,5,6か月以内ごと,3,,特定化学物質作業主任者（試験研究のため取り扱う作業は選任不要）,
ish,special_management,1,mandatory,特定化学物質（特別管理物質を含む）を製造・取り扱う作業場に名称・生ずるおそれのある疾病の種類と症状・取扱注意・使用すべき保護具を掲示する,"Special management substance: post name, health effects, precautions and PPE",特化則38条の3,,,研究室,,,,,,,,特定化学物質の名称・疾病の種類と症状・取扱注意・使用すべき保護具の掲示（38条の3）
ish,special_management,2,mandatory,特別管理物質：作業記録（氏名・作業概要・期間・ばく露事故）を30年保存する,Special management substance: keep work records 30 years,特化則38条の4,,,環境安全,,,,,,30,,
ish,special_management,3,mandatory,特別管理物質：作業環境測定記録と特定化学物質健康診断記録を30年保存する,Special management substance: keep measurement and health-check records 30 years,"特化則36, 36条の2, 40",,,産業保健,特定化学物質健康診断,6か月以内ごと,30,6か月以内ごと,30,,,
ish,special_organic,1,mandatory,特別有機溶剤等：有機則の措置（密閉・局排等、有機溶剤作業主任者、掲示・区分表示）を準用する,Special organic solvent: apply Organic Solvent Ordinance measures,"特化則2条の2, 27, 38条の8",,,研究室,,,,,,,特定化学物質作業主任者（有機溶剤作業主任者技能講習修了者から選任；試験研究のため取り扱う作業は不要）,有機溶剤等の掲示・区分表示
ish,special_organic,2,mandatory,特定化学物質健康診断（有機則の項目を準用）を6か月以内ごとに実施し、記録を30年保存する（特別有機溶剤はいずれも特別管理物質）,Specified chemical health check (organic solvent items) every 6 months; keep records 5 years (30 for special management substances),"特化則39, 40",,,産業保健,特定化学物質健康診断（有機則の項目を準用）,6か月以内ごと,30,,,,,
ish,special_organic,3,mandatory,作業環境測定を6か月以内ごとに実施し、記録を30年保存する（特別有機溶剤はいずれも特別管理物質）,Workplace measurement every 6 months; keep records 3 years (30 for special management substances),"特化則36, 36条の2",,,環境安全,,,,6か月以内ごと,30,,,
ish,organic_type_1,1,mandatory,"密閉設備・局所排気装置・プッシュプル型換気装置のいずれかを設ける（臨時・短時間・発散面が広い等の特例時のみ全体換気装置＋呼吸用保護具：有機則8〜11, 33）","Provide enclosure, local exhaust, push-pull or general ventilation","有機則5, 8〜11",1時間当たり消費量が許容消費量以下なら設備・主任者・掲示等の規定は適用除外（有機則2条、認定不要）；常態として超えない場合の全面適用除外は労基署長の認定が必要（3条）,含有率 ＞5 %。屋内作業場,研究室,,,,,,,,
ish,organic_type_1,2,conditional,有機溶剤作業主任者を選任する,Appoint an organic solvent operations chief,有機則19,試験又は研究の業務（有機則1条1項6号ル）および2条・3条の適用除外業務は選任不要,,研究室,,,,,,,有機溶剤作業主任者,
ish,organic_type_1,3,mandatory,作業環境測定を6か月以内ごとに実施し、記録を3年保存する,Workplace measurement every 6 months; keep records 3 years,有機則28,,,環境安全,,,,6か月以内ごと,3,,,
ish,organic_type_1,4,mandatory,有機溶剤等健康診断を6か月以内ごとに実施し、記録を5年保存する,Organic solvent health check every 6 months; keep records 5 years,"有機則29, 30",,,産業保健,有機溶剤等健康診断,6か月以内ごと,5,,,,,
ish,organic_type_1,5,mandatory,有機溶剤等使用の注意事項を掲示し、区分表示（第一種：赤）を行う,Post handling precautions and the colour class sign,"有機則24, 25",,,研究室,,,,,,,,有機溶剤等使用の注意事項の掲示；区分表示（第一種：赤）
ish,organic_type_1,6,mandatory,保護具を使用し、貯蔵・空容器の処理基準を守る,Use PPE; follow storage and empty-container rules,"有機則33, 35, 36",,,研究室,,,,,,,,
ish,organic_type_2,1,mandatory,"密閉設備・局所排気装置・プッシュプル型換気装置のいずれかを設ける（臨時・短時間・発散面が広い等の特例時のみ全体換気装置＋呼吸用保護具：有機則8〜11, 33）","Provide enclosure, local exhaust, push-pull or general ventilation","有機則5, 8〜11",1時間当たり消費量が許容消費量以下なら設備・主任者・掲示等の規定は適用除外（有機則2条、認定不要）；常態として超えない場合の全面適用除外は労基署長の認定が必要（3条）,含有率 ＞5 %。屋内作業場,研究室,,,,,,,,
ish,organic_type_2,2,conditional,有機溶剤作業主任者を選任する,Appoint an organic solvent operations chief,有機則19,試験又は研究の業務（有機則1条1項6号ル）および2条・3条の適用除外業務は選任不要,,研究室,,,,,,,有機溶剤作業主任者,
ish,organic_type_2,3,mandatory,作業環境測定を6か月以内ごとに実施し、記録を3年保存する,Workplace measurement every 6 months; keep records 3 years,有機則28,,,環境安全,,,,6か月以内ごと,3,,,
ish,organic_type_2,4,mandatory,有機溶剤等健康診断を6か月以内ごとに実施し、記録を5年保存する,Organic solvent health check every 6 months; keep records 5 years,"有機則29, 30",,,産業保健,有機溶剤等健康診断,6か月以内ごと,5,,,,,
ish,organic_type_2,5,mandatory,有機溶剤等使用の注意事項を掲示し、区分表示（第二種：黄）を行う,Post handling precautions and the colour class sign,"有機則24, 25",,,研究室,,,,,,,,有機溶剤等使用の注意事項の掲示；区分表示（第二種：黄）
ish,organic_type_2,6,mandatory,保護具を使用し、貯蔵・空容器の処理基準を守る,Use PPE; follow storage and empty-container rules,"有機則33, 35, 36",,,研究室,,,,,,,,
ish,organic_type_3,1,conditional,タンク等の内部での作業に限り換気設備（全体換気装置可）と健診6か月ごと（記録5年）を適用する；作業主任者（試験研究を除く）・掲示・区分表示は屋内作業場等全般に適用；作業環境測定は不要,Inside tanks only: apply Type 2-equivalent measures,"有機則1条1項5号, 6, 19, 24, 25, 29, 30",タンク等内部作業のみ,含有率 ＞5 %。屋内作業場,研究室,有機溶剤等健康診断（タンク等内部作業のみ）,6か月以内ごと,5,,,,有機溶剤作業主任者,区分表示（第三種：青）
ish,organic_solvent,1,mandatory,有機則の種別（第一種〜第三種）を安衛令別表第6の2で確認する,Confirm the organic solvent type (1-3) in the ordinance table,安衛令別表第6の2；有機則1条,種別未確定,含有率 ＞5 %。屋内作業場,環境安全,,,,,,,,
ish,organic_solvent,2,mandatory,種別確定まで第二種相当の措置（作業主任者・測定6か月ごと・健診6か月ごと・掲示）を前提に計画する,"Until the type is confirmed, plan Type 2-equivalent measures","有機則19, 24, 28, 29, 30",,,研究室,有機溶剤等健康診断,6か月以内ごと,5,6か月以内ごと,3,,有機溶剤作業主任者（試験又は研究の業務は選任不要）,
ish,lead,1,mandatory,局所排気装置等の発散抑制措置を講じる,Provide local exhaust or equivalent,鉛則5〜,鉛業務（令別表第4）に該当する作業のみ,,研究室,,,,,,,,
ish,lead,2,conditional,鉛作業主任者を選任する,Appoint a lead operations chief,鉛則33,令別表第4第1〜10号の鉛業務（遠隔操作の隔離室を除く）に限る（令6条19号）,,研究室,,,,,,,鉛作業主任者,
ish,lead,3,conditional,作業環境測定を1年以内ごとに実施し、記録を3年保存する,Workplace measurement yearly; keep records 3 years,鉛則52,令別表第4第1〜8号・10号・16号の鉛業務を行う屋内作業場に限る（令21条8号）,,環境安全,,,,1年以内ごと,3,,,
ish,lead,4,mandatory,鉛健康診断を6か月以内ごと（一部業務は1年以内ごと）に実施し、記録を5年保存する,Lead health check every 6 months (yearly for some work); keep records 5 years,"鉛則53, 54",,,産業保健,鉛健康診断,6か月以内ごと（一部業務は1年以内ごと）,5,,,,,
ish,lead,5,mandatory,作業衣・洗身設備を備え、喫煙・飲食禁止を表示する,Provide work clothing and washing; post no smoking/eating signs,"鉛則45, 47, 49〜51, 59",,,研究室,,,,,,,,喫煙・飲食禁止の表示
ish,dangerous_substance,1,mandatory,火気・点火源の管理、通風換気、発火・爆発防止措置、貯蔵基準を守る,"Control ignition sources, ventilate, prevent fire/explosion, follow storage rules","安衛則256〜261, 279；令別表第1",,,研究室,,,,,,,,
ish,dangerous_substance,2,conditional,化学設備（危険物等を製造・取り扱う固定設備）に該当すれば作業規程・改造修理時措置・2年以内ごとの定期自主検査等を適用する（乾燥設備・第一種圧力容器は別途作業主任者）,Above set quantities apply chemical-facility rules and a supervisor,安衛則274〜278；令6条8号・17号,化学設備（安衛令の定義）に該当する設備がある場合,,事業場,,,,,,,,
ish,control_concentration,1,info,管理濃度は作業環境測定結果の評価基準として用いる,Control concentration is the evaluation criterion for workplace measurement,作業環境評価基準,,,,,,,,,,,
ish,carcinogenic_guideline,1,info,がん原性指針に基づきばく露低減・記録に努める（努力義務）,Reduce exposure and keep records per the carcinogenicity guideline (best effort),労働基準局長通達（がん原性指針）,,,,,,,,,,,
ish,strong_mutagen,1,info,変異原性指針に基づきばく露低減・記録に努める（努力義務）,Reduce exposure and keep records per the mutagenicity guideline (best effort),労働基準局長通達（変異原性指針）,,,,,,,,,,,
poison_control,poison,1,mandatory,容器・被包に「医薬用外毒物」（赤地に白文字）、貯蔵・陳列場所に「医薬用外」「毒物」を表示する,Label containers and storage as non-medical poison/deleterious substance,毒劇法12（22条5項準用）,,指定令第1条のただし書（除外規定）を確認（例：無機シアン化合物は紺青・フェリシアン塩・フェロシアン塩を除く）,研究室,,,,,,,,「医薬用外毒物」（赤地に白文字）
poison_control,poison,2,mandatory,施錠保管し、盗難・紛失を防止する,Store under lock; prevent theft and loss,毒劇法11,,,研究室,,,,,,,,
poison_control,poison,3,mandatory,飛散・漏えいを防止する,Prevent scattering and leakage,毒劇法11,,,研究室,,,,,,,,
poison_control,poison,4,mandatory,廃棄基準（中和・希釈等）に従って廃棄する,"Dispose per the disposal standards (neutralise, dilute)",毒劇法15条の2；施行令40,,,環境安全,,,,,,,,
poison_control,poison,5,mandatory,事故時は届出と応急措置を行う,Report accidents and take emergency measures,毒劇法17,,,環境安全,,,,,,,,
poison_control,poison,6,info,受払・使用記録を管理する（自主基準）,Keep receipt/use records (voluntary standard),法定義務なし（毒劇法11（22条5項準用）の盗難・紛失防止措置の一環として自主実施）,,,研究室,,,,,,,,
poison_control,poison,7,conditional,シアン化合物の電気めっき・金属熱処理、大量運送、しろあり防除は業務上取扱者の届出と毒物劇物取扱責任者の設置を行う,Notify as a business handler and appoint a handling supervisor for plating/heat treatment/bulk transport/termite control,毒劇法22,研究室の通常使用では届出不要（責任者設置は任意だが推奨）,,事業場,,,,,,,毒物劇物取扱責任者,
poison_control,poison,8,info,譲受時は譲受書（品名・数量・年月日・氏名・職業・住所）を提出する（書面の5年保存は販売・授与側の毒物劇物営業者の義務）,Keep transfer documents 5 years,毒劇法14,毒物劇物営業者からの購入・譲受時,,事業場,,,,,,,,
poison_control,deleterious,1,mandatory,容器・被包に「医薬用外劇物」（白地に赤文字）、貯蔵・陳列場所に「医薬用外」「劇物」を表示する,Label containers and storage as non-medical poison/deleterious substance,毒劇法12（22条5項準用）,,例：硫酸・塩酸 10 %以下、ホルムアルデヒド 1 %以下、過酸化水素 6 %以下は除外,研究室,,,,,,,,「医薬用外劇物」（白地に赤文字）
poison_control,deleterious,2,mandatory,施錠保管し、盗難・紛失を防止する,Store under lock; prevent theft and loss,毒劇法11,,,研究室,,,,,,,,
poison_control,deleterious,3,mandatory,飛散・漏えいを防止する,Prevent scattering and leakage,毒劇法11,,,研究室,,,,,,,,
poison_control,deleterious,4,mandatory,廃棄基準（中和・希釈等）に従って廃棄する,"Dispose per the disposal standards (neutralise, dilute)",毒劇法15条の2；施行令40,,,環境安全,,,,,,,,
poison_control,deleterious,5,mandatory,事故時は届出と応急措置を行う,Report accidents and take emergency measures,毒劇法17,,,環境安全,,,,,,,,
poison_control,deleterious,6,info,受払・使用記録を管理する（自主基準）,Keep receipt/use records (voluntary standard),法定義務なし（毒劇法11（22条5項準用）の盗難・紛失防止措置の一環として自主実施）,,,研究室,,,,,,,,
poison_control,deleterious,7,conditional,シアン化合物の電気めっき・金属熱処理、大量運送、しろあり防除は業務上取扱者の届出と毒物劇物取扱責任者の設置を行う,Notify as a business handler and appoint a handling supervisor for plating/heat treatment/bulk transport/termite control,毒劇法22,研究室の通常使用では届出不要（責任者設置は任意だが推奨）,,事業場,,,,,,,毒物劇物取扱責任者,
poison_control,deleterious,8,info,譲受時は譲受書（品名・数量・年月日・氏名・職業・住所）を提出する（書面の5年保存は販売・授与側の毒物劇物営業者の義務）,Keep transfer documents 5 years,毒劇法14,毒物劇物営業者からの購入・譲受時,,事業場,,,,,,,,
poison_control,specific_poison,1,mandatory,特定毒物研究者の許可がなければ使用・所持しない,Do not use or possess without a specific-poison researcher permit,毒劇法3条の2,,,事業場,,,,,,,,
poison_control,specific_poison,2,mandatory,用途制限・着色基準に従う,Follow use restrictions and colouring standards,毒劇法3条の2（4・5・9項）；施行令第1〜5章（品目別の用途・着色・品質基準）,,,研究室,,,,,,,,
poison_control,specific_poison,3,mandatory,容器・被包に「医薬用外毒物」（赤地に白文字）、貯蔵・陳列場所に「医薬用外」「毒物」を表示する,Label containers and storage as non-medical poison/deleterious substance,毒劇法12,,,研究室,,,,,,,,「医薬用外毒物」（赤地に白文字）
poison_control,specific_poison,4,mandatory,施錠保管し、盗難・紛失を防止する,Store under lock; prevent theft and loss,毒劇法11,,,研究室,,,,,,,,
poison_control,specific_poison,5,mandatory,飛散・漏えいを防止する,Prevent scattering and leakage,毒劇法11,,,研究室,,,,,,,,
poison_control,specific_poison,6,mandatory,廃棄基準（中和・希釈等）に従って廃棄する,"Dispose per the disposal standards (neutralise, dilute)",毒劇法15条の2；施行令40,,,環境安全,,,,,,,,
poison_control,specific_poison,7,mandatory,事故時は届出と応急措置を行う,Report accidents and take emergency measures,毒劇法17,,,環境安全,,,,,,,,
poison_control,specific_poison,8,info,受払・使用記録を管理する（自主基準）,Keep receipt/use records (voluntary standard),法定義務なし（毒劇法11の盗難・紛失防止措置の一環として自主実施）,,,研究室,,,,,,,,
poison_control,specific_poison,9,conditional,シアン化合物の電気めっき・金属熱処理、大量運送、しろあり防除は業務上取扱者の届出と毒物劇物取扱責任者の設置を行う,Notify as a business handler and appoint a handling supervisor for plating/heat treatment/bulk transport/termite control,毒劇法22,研究室の通常使用では届出不要（責任者設置は任意だが推奨）,,事業場,,,,,,,毒物劇物取扱責任者,
poison_control,specific_poison,10,info,譲受時は譲受書を提出する（書面の5年保存は販売・授与側の毒物劇物営業者の義務）。特定毒物は営業者・特定毒物研究者・特定毒物使用者間でのみ譲渡・譲受可,Keep transfer documents 5 years,毒劇法14；3条の2（6〜8項）,販売・授与時,,事業場,,,,,,,,
poison_control,poison_control_listed,1,mandatory,毒物・劇物・特定毒物の区分を毒劇法別表・指定令で確認する,Confirm poison/deleterious/specific-poison class in the Act tables and Cabinet Order,毒劇法2；別表第1〜3；指定令,区分未確定,指定令の除外濃度（ただし書）を確認,環境安全,,,,,,,,
poison_control,poison_control_listed,2,mandatory,区分確定まで毒物相当の表示・施錠保管・事故時届出を行う,"Until the class is confirmed, apply poison-level labelling, locked storage and accident reporting","毒劇法11, 12, 17",,,研究室,,,,,,,,「医薬用外毒物」／「医薬用外劇物」の表示
poison_control,poison_control_listed,3,conditional,シアン化合物の電気めっき・金属熱処理、大量運送、しろあり防除は業務上取扱者の届出と毒物劇物取扱責任者の設置を行う,Notify as a business handler and appoint a handling supervisor for plating/heat treatment/bulk transport/termite control,毒劇法22,研究室の通常使用では届出不要（責任者設置は任意だが推奨）,,事業場,,,,,,,毒物劇物取扱責任者,
poison_control,poison_control_listed,4,info,譲受時は譲受書を提出する（書面の5年保存は販売・授与側の毒物劇物営業者の義務）,Keep transfer documents 5 years,毒劇法14,毒物劇物営業者からの購入・譲受時,,事業場,,,,,,,,
poison_control,*,1,mandatory,毒物・劇物・特定毒物の区分を確定し、表示・施錠保管・事故時届出を実施する,"Determine the class and apply labelling, locked storage and accident reporting","毒劇法11, 12, 17",,,研究室,,,,,,,,
poison_control,*,2,conditional,シアン化合物の電気めっき・金属熱処理、大量運送、しろあり防除は業務上取扱者の届出と毒物劇物取扱責任者の設置を行う,Notify as a business handler and appoint a handling supervisor for plating/heat treatment/bulk transport/termite control,毒劇法22,研究室の通常使用では届出不要（責任者設置は任意だが推奨）,,事業場,,,,,,,毒物劇物取扱責任者,
poison_control,*,3,info,譲受時は譲受書を提出する（書面の5年保存は販売・授与側の毒物劇物営業者の義務）,Keep transfer documents 5 years,毒劇法14,毒物劇物営業者からの購入・譲受時,,事業場,,,,,,,,
cscl,class_i_specified,1,mandatory,製造・輸入は許可制（事実上禁止）。政令指定用途以外の使用禁止・製品輸入禁止,Manufacture/import effectively banned; use only for designated purposes,"化審法17, 22, 24, 25",試験研究用の使用・輸入は許可・用途制限の対象外（22条1項ただし書・25条ただし書）,,事業場,,,,,,,,
cscl,class_i_specified,2,conditional,試験研究用の使用・輸入は許可・用途制限の対象外。入手経路・保管・廃棄を記録する（自主；PCBはPCB特措法）,"Small research use allowed; record sourcing, storage and disposal (PCB: PCB Special Measures Act)",化審法25条ただし書；22条1項ただし書,試験研究用途,,研究室,,,,,,,,
cscl,class_ii_specified,1,conditional,製造・輸入者は予定数量・実績数量を届け出て、技術指針・表示に従う,Manufacturers/importers report planned and actual quantities,"化審法35, 36, 37",製造・輸入者のみ届出（試験研究用は除外）,,製造・輸入者,,,,,,,,
cscl,class_ii_specified,2,info,使用者は取扱い上の技術指針の遵守に努める,Users follow the technical handling guidelines (best effort),化審法36,,,,,,,,,,,
cscl,monitoring,1,conditional,製造・輸入実績を届け出る（数量下限なし。試験研究用は除外）,Report manufacture/import volume (>=1 t/yr),化審法13,製造・輸入者のみ（試験研究用は除外）,数量下限なし（試験研究用のみ除外）,製造・輸入者,,,,,,,,
cscl,priority_evaluation,1,conditional,製造・輸入数量・用途を届け出る（年1 t 以上）,Report manufacture/import volume and use (>=1 t/yr),化審法9；施行令6,製造・輸入者のみ,年1 t 以上,製造・輸入者,,,,,,,,
cscl,priority_evaluation,2,info,試験研究用は届出対象外。情報伝達は努力義務,Research use is exempt from reporting; information transfer is best effort,化審法9条1項1号；12条,,,,,,,,,,,
cscl,*,1,mandatory,化審法区分（第一種特定・第二種特定・監視・優先評価）を確定する,Determine the CSCL category,化審法2,,,環境安全,,,,,,,,
cscl,*,2,info,試験研究用の製造・輸入は届出対象外,Research-purpose manufacture/import is exempt from notification,"化審法3条1項2号・3号（新規化学物質）；8条1項1号, 9条1項1号, 13条1項ただし書, 35条1項ただし書（届出除外）",,,,,,,,,,,
prtr,first_class,1,conditional,排出量・移動量を年度ごと・事業所単位で届け出る,Report annual releases and transfers per site,"化管法5；施行令3（業種）, 4（1 t／0.5 t・21人）, 5（含有率1 %／0.1 %）",常用雇用21人以上、かつ物質ごとの年間取扱量 1 t 以上（特定第一種 0.5 t）。大学・研究機関は対象業種,取扱量 ≥1 t/年、含有率 ≥1 %,環境安全,,,,,,,,
